Tweet Date,Sentence,Quote Count,Reply Count,Retweet Count,Favorite Count,Sentiment,English Translation
Wed Feb 28 16:12:41 +0000 2024,"[USERNAME] Taruh di Mandiri 1 lot, BCA 1 lot udah habis tuh tidurrr buka lagi tahun depan",0,0,0,0,Positive,"[USERNAME] Put 1 lot in Mandiri, 1 lot in BCA, it's all gone, go to sleep, open again next year"
Wed Feb 28 15:35:40 +0000 2024,[USERNAME] [USERNAME] 10 juta aja mau beli 90% saham BCA 🗿,0,0,0,0,Positive,[USERNAME] [USERNAME] Just 10 million to buy 90% of BCA shares 🗿
Wed Feb 28 15:03:41 +0000 2024,Pengen punya saham BBCA 100 lot aja ya Allah wkwkwk,0,0,0,0,Positive,"I want to have 100 lots of BBCA shares, oh my God, hahaha"
Wed Feb 28 14:05:34 +0000 2024,"komposisi investasi saya: - big 3 kripto (btc, eth, sol) - tech giant - saham as (aapl, msft, intc, nvda, adbe - saham bluechip bank indo (bca, bri, bni, mand) - obligasi (buat support negara/nasionalisme)",1,1,2,2,Neutral,"my investment composition: - big 3 crypto (btc, eth, sol) - tech giant - US stocks (aapl, msft, intc, nvda, adbe - bluechip bank indo stocks (bca, bri, bni, mand) - bonds (to support the country/nationalism)"
Wed Feb 28 13:23:07 +0000 2024,"rups (Rapat umum pemegang saham) tahunan bank bri, bank bni, bank mandiri Dan bank bca. Bank bri tanggal RUPS 1 maret 2024. Bank bni tanggal RUPS 4 maret 2024. Bank mandiri tanggal RUPS 7 maret 2024. Bank bca tanggal RUPS 14 2024. Kayanya semua membahas proyeksi dividen interim. [URL]",0,0,0,0,Neutral,"Annual general meeting of shareholders (RUPS) of Bank BRI, Bank BNI, Bank Mandiri and Bank BCA. Bank BRI GMS date March 1, 2024. Bank BNI GMS date March 4, 2024. Bank Mandiri GMS date March 7, 2024. Bank BCA GMS date March 14, 2024. It seems that all of them are discussing the interim dividend projection. [URL]"
Wed Feb 28 12:59:41 +0000 2024,[USERNAME] guys kalian beli bbca pake app apa?,0,5,0,1,Neutral,"[USERNAME] guys, what app do you use to buy BBCA?"
Wed Feb 28 12:07:09 +0000 2024,"[USERNAME] ( betul, dia kemaren abis beli saham BBCA 1000 lot )",0,1,0,0,Neutral,"[USERNAME] (that's right, yesterday he just bought 1000 lots of BBCA shares)"
Wed Feb 28 10:13:42 +0000 2024,shm! akhirnya BBCA tembus 10k. Semoga tidak ada stock split lagi ya [URL],30,45,14,244,Positive,shm! finally BBCA broke through 10k. Hopefully there will be no more stock split [URL]
Wed Feb 28 04:58:03 +0000 2024,BMRI &gt cum date &gt 26 Mar (265) BBNI &gt cum date &gt 27 Mar (393) BBCA &gt cum date &gt 28 Mar (42) Simulasi bonus udah turun tabungan saham 80 jt BMRI 11500 x 265 = 3.047.500 BBNI 13500 x 393 = 5.305.500 BBCA 8000 x 42 = 336.000 Total = -+ 8.689.000,0,1,0,0,Neutral,"BMRI &gt cum date &gt 26 Mar (265) BBNI &gt cum date &gt 27 Mar (393) BBCA &gt cum date &gt 28 Mar (42) Bonus simulation has been reduced to 80 million stock savings BMRI 11,500 x 265 = 3,047,500 BBNI 13,500 x 393 = 5,305,500 BBCA 8,000 x 42 = 336,000 Total = -+ 8,689,000"
Wed Feb 28 03:26:55 +0000 2024,[USERNAME] [USERNAME] [USERNAME] [USERNAME] Apple ama Bca juga gaperna kalah bang berarti [URL],0,1,0,0,Positive,"[USERNAME] [USERNAME] [USERNAME] [USERNAME] Apple and Bca have never lost, bro [URL]"
Wed Feb 28 00:43:09 +0000 2024,[USERNAME] [USERNAME] BBCA bisa ambruk 90% dalam 1 malam bang?,0,2,1,0,Neutral,"[USERNAME] [USERNAME] BBCA can collapse 90% in 1 night, bro?"
Tue Feb 27 15:38:45 +0000 2024,"[USERNAME] Saham IDX dan Crypto sama2 market yg tidak efisien.. contoh: Market Cap BREN pernah melewati BBCA, BBRI..Itu emiten asset nya brapa? Valuasi 1000T.. Ada saham gorengan ada juga shitcoin . So gw maen kedua nya. Cuma beda tujuan.Di saham gw saham volalitas rendah, high dividen",0,1,0,0,Neutral,"[USERNAME] IDX and Crypto stocks are both inefficient markets.. example: BREN's Market Cap has passed BBCA, BBRI.. How much is the asset issuer? Valuation 1000T.. There are fried stocks and also shitcoin. So I play both. Just different goals. In my stocks, low volatility stocks, high dividends"
Tue Feb 27 11:45:45 +0000 2024,[USERNAME] gak mau gua mau hp baru ip 13 beserta saham bca,0,0,0,0,Positive,"[USERNAME] I don't want to, I want a new cellphone, IP 13, along with BCA shares"
Tue Feb 27 09:33:29 +0000 2024,Trader siapa nih yang kita undang kali ini? 😌 yang bisa tebak bisa dapat Giveaway saldo RDN! 🥳 Referralkan Bluechip dapat saham [HASHTAG] 😱 kepoin 👇🏻 [URL] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [URL],0,0,0,1,Neutral,Which trader are we inviting this time? 😌 whoever can guess can get the RDN balance giveaway! 🥳 Referral Bluechip to get [HASHTAG] shares 😱 check it out 👇🏻 [URL] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [URL]
Tue Feb 27 05:27:34 +0000 2024,"Harga Saham BCA Sempat Sentuh Rp10.000, Begini Jawaban Direksi Soal Rumor Stock Split [URL]",0,0,0,1,Neutral,"BCA Share Prices Touch Rp10,000, Here's the Board of Directors' Response to Stock Split Rumors [URL]"
Tue Feb 27 04:43:39 +0000 2024,"[USERNAME] [USERNAME] Goals tahun ini? Target punya 10 lot Saham BBCA Tapi apa daya gaji dibawah UMR, Di usahain mati²an dah Biar ada invest untuk masa Tua nanti",0,0,0,0,Positive,"[USERNAME] [USERNAME] Goals this year? Target to have 10 lots of BBCA shares But what can I do, salary is below the minimum wage, I'm trying my hardest so I have an investment for my old age."
Tue Feb 27 01:33:43 +0000 2024,"Rumah di Citraland, villa di Ubud, uang 8M, emas batang 100kg, saham BCA minimal 100 slot, saham Sinarmas minimal 100 slot, umroh sebulan sekali.",0,1,0,0,Positive,"A house in Citraland, a villa in Ubud, 8M cash, 100kg gold bars, at least 100 slots of BCA shares, at least 100 slots of Sinarmas shares, and umrah once a month."
Tue Feb 27 00:55:57 +0000 2024,"Trading Selasa (27/02/2024)📈 🚀 BBNI, KLBF, BREN, TPIA, ARKO, dan AMRT IHSG Technical View👀 IHSG ditutup turun 0.15% kemarin, dan disertai dengan net sell asing ~913 Miliar. Saham yang paling banyak dijual asing adalah BBCA, BMRI, ADRO, TLKM, dan KLBF.",0,1,0,2,Negative,"Trading Tuesday (27/02/2024)📈 🚀 BBNI, KLBF, BREN, TPIA, ARKO, and AMRT IHSG Technical View👀 IHSG closed down 0.15% yesterday, accompanied by a foreign net sell of ~913 billion. The stocks most sold by foreigners were BBCA, BMRI, ADRO, TLKM, and KLBF."
Tue Feb 27 00:33:34 +0000 2024,"Investor Asing Jualan Saham Hingga IHSG Turun, BBCA Paling Besar [URL]",0,0,0,0,Negative,"Foreign Investors Sell Stocks Until IHSG Drops, BBCA is the Biggest [URL]"
Mon Feb 26 18:45:52 +0000 2024,50% saham bca 50% saham paragon 50% saham lvmh dh itu aja,0,0,0,0,Neutral,"50% BCA shares, 50% Paragon shares, 50% LVMH shares, that's all"
Mon Feb 26 18:40:14 +0000 2024,"Ya gimana mau nurunin saham mereka secara signifikan, kalo tiap dikasih promo gede langsung pada antri mengular? Mukdi tuh contohnya. Kemarin pas hut bca ngasih cashback gede. Langsung rame mukdinya. Padahal hari biasa sepi",0,1,0,1,Neutral,"Well, how can they significantly reduce their shares, if every time they are given a big promo, they immediately queue up? Mukdi is an example. Yesterday, during BCA's anniversary, they gave a big cashback. Mukdi was immediately crowded. Even though it's usually quiet on weekdays."
Mon Feb 26 10:34:44 +0000 2024,"pengin beli saham BBCA, tapi kayanya harus win $500 dulu deh",0,0,0,0,Positive,"I want to buy BBCA shares, but I think I have to win $500 first"
Mon Feb 26 10:15:15 +0000 2024,"Happy birthday, pacarnya Bang Timo. Katanya mau giveaway saham BBCA hari ini ya?",0,1,0,0,Positive,"Happy birthday, Bang Timo's girlfriend. You said you're going to give away BBCA shares today, right?"
Mon Feb 26 09:34:35 +0000 2024,"IHSG Melemah ke 7.283, Saham BYAN, BBCA &amp TLKM Menjangkari [URL]",0,0,0,0,Negative,"IHSG Weakens to 7,283, BYAN, BBCA & TLKM Shares Anchor [URL]"
Mon Feb 26 06:18:08 +0000 2024,"[USERNAME] Gue tahun ini pengen dikasih saham BBCA 1000lot aja, ga muluk2🌝",0,1,0,0,Positive,"[USERNAME] I just want to be given 1000 lots of BBCA shares this year, nothing fancy🌝"
Mon Feb 26 02:25:09 +0000 2024,"IHSG Dibuka Melemah Awal Pekan, Saham Bank Jumbo BMRI, BBCA, BBRI Berguguran [URL]",0,0,1,1,Negative,"IHSG Opens Lower at the Start of the Week, Jumbo Bank Shares BMRI, BBCA, BBRI Fall [URL]"
Mon Feb 26 02:20:16 +0000 2024,"Sisa duit nganggur setelah bayar cicilan dsb ada sekian juta. Kapan harus nyerok saham perbankan? Saran web/sejenisnya dong biar bisa analisa sendiri? Saat ini sender cuma buat invest bukan trading, pegang $BBCA $BBNI $BBRI $BMRI Thankyou yang mau jawab, (cont)",0,6,0,5,Neutral,"The remaining idle money after paying installments etc. is several million. When should I scoop up banking stocks? Any suggestions on websites/similar so I can analyze it myself? Currently the sender is only for investment, not trading, holding $BBCA $BBNI $BBRI $BMRI Thank you for those who want to answer, (cont)"
Mon Feb 26 00:41:31 +0000 2024,"Trading Senin (26/02/2024)📈 🚀 BBRI, BMRI, TLKM, BBTN, FILM, dan BRIS IHSG Technical View👀 IHSG ditutup turun 0.61% Jumat lalu, dan disertai dengan net sell asing ~1.37 Triliun. Saham yang paling banyak dijual asing adalah BMRI, BBRI, TLKM, BBNI dan BBCA.",0,1,1,2,Negative,"Trading Monday (26/02/2024)📈 🚀 BBRI, BMRI, TLKM, BBTN, FILM, and BRIS IHSG Technical View👀 IHSG closed down 0.61% last Friday, and was accompanied by a foreign net sell of ~1.37 trillion. The stocks most sold by foreigners were BMRI, BBRI, TLKM, BBNI and BBCA."
Mon Feb 26 00:02:58 +0000 2024,"Akum terus nih asing, uhuy 🙌🏻 Apa sih yang ditunggu? Yuk ikutan referral Bluechip bisa dapat saham 🤩👇🏻 [URL] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [URL]",0,0,0,0,Positive,"I'm still a stranger, uhuy 🙌🏻 What are you waiting for? Come join the Bluechip referral and get shares 🤩👇🏻 [URL] [HASHTAG"
Sun Feb 25 11:26:56 +0000 2024,Harga telor naiknya lebih cepat daripada harga saham BCA yaoloooo tolooooong 😭😭😭,0,0,0,0,Negative,"The price of eggs is rising faster than the price of BCA shares, please help me 😭😭😭"
Sun Feb 25 08:13:28 +0000 2024,"bbri alami 2 kali stock splits: artinya harga riil saat neh, Rp 6125: jika tanpa stock splits berarti Rp 61.250,-: cukup mahal, lebe murah daripada saham BBCA n DSSA seh",0,0,0,0,Negative,"bbri experienced 2 stock splits: meaning the real price at the moment is Rp. 6125: if there were no stock splits it would be Rp. 61,250: quite expensive, cheaper than BBCA and DSSA shares."
Sun Feb 25 08:09:58 +0000 2024,👀Top 3 Emiten Banks pilihan gw: 1. BBCA 2. BBNI 3. BBRI Kalian apa?,0,0,0,3,Positive,👀Top 3 Bank Issuers of my choice: 1. BBCA 2. BBNI 3. BBRI What's yours?
Sun Feb 25 07:39:29 +0000 2024,"Sekarang kalau mau beli saham BCA, harus punya uang satu juta anjir, valuasi nya emang ngeri",0,0,0,0,Negative,"Now, if you want to buy BCA shares, you have to have one million rupiah, damn it, the valuation is really scary."
Sun Feb 25 07:20:49 +0000 2024,"shm! pertama kali ikut rups, ini cara daftarnya gimana ya? udh baca” masih blm paham, btw rups bca. thx",0,8,0,12,Neutral,"shm! first time joining a RUPS, how do I register? I've read it but I still don't understand, btw RUPS BCA. thx"
Sat Feb 24 15:01:38 +0000 2024,"[USERNAME] Dikit amat, minta bca 10rb lot lah",0,1,0,1,Positive,"[USERNAME] Very few, please read 10 thousand lots"
Sat Feb 24 14:32:30 +0000 2024,[USERNAME] [USERNAME] [USERNAME] Bbca pake sistem nabung aja sih saham sepanjang masa soalnya 😂😂,0,0,0,0,Positive,"[USERNAME] [USERNAME] [USERNAME] Bbca uses a savings system, but stocks are always the same 😂😂"
Sat Feb 24 10:42:22 +0000 2024,Pengen jadi bca prioritas dan dapat undangan rups nya saham apa gitu ~,0,1,0,0,Positive,I want to become a priority BCA and get an invitation to the general meeting of shares or something ~
Sat Feb 24 07:55:31 +0000 2024,[USERNAME] Beli saham BCA,0,0,0,0,Positive,[USERNAME] Buy BCA shares
Sat Feb 24 07:17:28 +0000 2024,"[USERNAME] Sini gua suapin, bang. Pakai saham BBCA mau?",0,1,0,0,Positive,"[USERNAME] Here I feed you, man. Use BBCA stock will you?"
Sat Feb 24 06:17:24 +0000 2024,[USERNAME] [USERNAME] dibilangin beli saham BCA aja,0,0,0,0,Positive,[USERNAME] [USERNAME] was told to just buy BCA shares
Sat Feb 24 02:17:14 +0000 2024,[USERNAME] [USERNAME] [USERNAME] Maju mundur nih mau avg down atau nambah muatan bbca,0,1,0,0,Positive,[USERNAME] [USERNAME] [USERNAME] I'm going back and forth whether to lower the average or increase the BBCA load.
Fri Feb 23 23:34:15 +0000 2024,Akhirnya wishlist saham di awal tahun tercapai 🍾🛵💨 BBRI 5 lot BBCA 2 lot —-&gt segera 5 lot BMRI 5 lot 🙏🏻🙏🏻🙏🏻,0,0,0,0,Positive,Finally my stock wishlist at the beginning of the year has been achieved 🍾🛵💨 BBRI 5 lots BBCA 2 lots —-&gt soon 5 lots BMRI 5 lots 🙏🏻🙏🏻🙏🏻
Fri Feb 23 22:35:08 +0000 2024,"Top News: Saham BCA Hampir Rp 10 Ribu, Nasib Hak Angket di PDIP [URL]",0,0,0,0,Neutral,"Top News: BCA Shares Nearly IDR 10,000, Fate of Right of Inquiry in PDIP [URL]"
Fri Feb 23 19:56:52 +0000 2024,[USERNAME] [USERNAME] 6 juta ya. Emang ada BBCA di bawah 600rb?,0,0,0,0,Neutral,[USERNAME] [USERNAME] 6 million huh. Is there really a BBCA under 600 thousand?
Fri Feb 23 16:19:25 +0000 2024,"[USERNAME] [USERNAME] Mungkin 6 juta ya maksudnya, bbca aja harga 1 lot udah lebih dari 600k",0,0,0,0,Neutral,"[USERNAME] [USERNAME] Maybe 6 million is what I mean, just reading the price of 1 lot is already more than 600k"
Fri Feb 23 14:11:17 +0000 2024,"Equity Research Analyst BCA Sekuritas Mutiara Nita berharap pemberian Penyertaan Modal Negara (PMN) dapat membantu PT Wijaya Karya Tbk (WIKA) untuk menyelesaikan berbagai proyek yang sedang dikerjakan, termasuk Proyek… [URL] [HASHTAG] [HASHTAG] [HASHTAG]",0,0,0,1,Neutral,"Equity Research Analyst BCA Sekuritas Mutiara Nita hopes that the provision of State Capital Participation (PMN) can help PT Wijaya Karya Tbk (WIKA) to complete various projects that are being worked on, including the Project… [URL] [HASHTAG] [HASHTAG] [HASHTAG]"
Fri Feb 23 10:16:31 +0000 2024,"[USERNAME] 4 tahun BBCA, 4 Tahun BMRI.....dr awalnya dikit krena stock split smpe skrng jd puluhan. Dr yg cuman dpet deviden ratusan rbu udah nyentuh 1jtaan.",0,0,0,2,Positive,"[USERNAME] 4 years of BBCA, 4 years of BMRI.....from the beginning a little because of the stock split until now it's tens. From those who only got hundreds of thousands in dividends, it's already touched 1 million."
Fri Feb 23 04:11:16 +0000 2024,[USERNAME] jajan saham bca di stockbit nder..,0,0,0,0,Positive,[USERNAME] buy BCA shares on Stockbit now..
Fri Feb 23 03:49:35 +0000 2024,"Harga Saham Mendekati Rp 10.000, BCA Berencana Stock Split Lagi? [URL]",0,0,0,0,Neutral,"Stock Price Approaches Rp 10,000, BCA Planning Another Stock Split? [URL]"
Thu Feb 22 16:56:58 +0000 2024,"BBCA mnurut grafik tren harga saham berdasarkan sumber Yahoo Finance mengalami 2 kali aksi korporasi: stock splits: 2:1 (2008), n 5:1 (2021): artinya harga seharusnya (tanpa stock splits) 10 kali lipat harga per tgl 22 Februari 2024 (9875): 98750 perak aza: dssa: Rp120.250,-",0,1,0,0,Neutral,"BBCA according to the stock price trend chart based on Yahoo Finance sources has experienced 2 corporate actions: stock splits: 2:1 (2008), n 5:1 (2021): meaning the price should be (without stock splits) 10 times the price as of February 22, 2024 (9875): 98750 silver aza: dssa: Rp120,250,-"
Thu Feb 22 16:01:52 +0000 2024,Mending 4 lot saham bca atau 2 lot bca 2 lot bbri??,0,1,0,0,Neutral,Is it better to have 4 lots of BCA shares or 2 lots of BCA and 2 lots of BBRI?
Thu Feb 22 14:07:09 +0000 2024,pengen saham BBCA 25lot BBRI 25lot,0,0,0,0,Positive,want BBCA shares 25lot BBRI 25lot
Thu Feb 22 11:18:09 +0000 2024,"Presdir BCA, Jahja Setiaatmadja, menegaskan belum ada pertimbangan bank untuk melakukan aksi korporasi stock split saham. Sebab, harga saham saat ini masih menarik bagi investor. [HASHTAG] [HASHTAG] [URL]",0,0,0,2,Neutral,"BCA President Director, Jahja Setiaatmadja, confirmed that the bank has not considered conducting a stock split corporate action. Because, the current stock price is still attractive to investors. [HASHTAG] [HASHTAG] [URL]"
Thu Feb 22 10:11:10 +0000 2024,"Presiden Direktur BCA, Jahja Setiaatmadja, mengibaratkan dividen yang akan dibagikan ke pemegang saham sebagai uang sangu jelang lebaran. [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [URL]",0,0,0,0,Positive,"BCA President Director, Jahja Setiaatmadja, likened the dividends that will be distributed to shareholders to pocket money before Eid. [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [URL]"
Thu Feb 22 10:09:44 +0000 2024,[USERNAME] Mau saham BCA atau gudang garam 5 lot aja,0,0,0,0,Positive,"[USERNAME] Want BCA or Gudang Garam shares, just 5 lots?"
Thu Feb 22 09:47:13 +0000 2024,For your info… chipmin kasih tahu aja siapa tahu ada yang belum tahu 🤭 Yuk promo referal Bluechip dapat saham masih ada loh… cek disini 👇🏻 [URL] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [URL],0,0,0,0,Positive,"For your info… chipmin let me know if anyone knows or doesn't know 🤭 Come on, the Bluechip referral promo is still available… check here 👇🏻 [URL] [HASHTAGURL]"
Thu Feb 22 07:30:42 +0000 2024,[USERNAME] Kasih saham BCA,0,0,0,0,Positive,[USERNAME] Give BCA shares
Thu Feb 22 07:11:30 +0000 2024,"Tebar Diskon HUT, Saham BCA Malah Ambruk - [URL] [URL]",0,0,2,1,Negative,"Spreading Anniversary Discounts, BCA Shares Actually Collapsed - [URL] [URL]"
Thu Feb 22 06:30:26 +0000 2024,"sekarang kan menghadiri rups shm! bbca ga perlu pake ktur, terus cara konfirmasi kehadiran secara offlinenya gimana? atau langsung dateng ketempatnya aja sesuai jadwal?",0,3,1,0,Neutral,"Now, attending the SHM! BBCA GMS doesn't require a ktur, so how do you confirm your attendance offline? Or just come directly to the place according to the schedule?"
Thu Feb 22 03:54:35 +0000 2024,"BTPN Bakal Rights Issue Rp6,73 T, BCA Ambil 26,68 Juta Saham [URL]",0,0,0,0,Neutral,"BTPN to Conduct Rights Issue of Rp6.73 T, BCA Takes 26.68 Million Shares [URL]"
Thu Feb 22 03:24:56 +0000 2024,"akumulasi saham BBCA, BBRI, BNII, ARTO dalam portofolio warteg BY JO ot C: neh, per tgl 22 Februari 2024: kontrarian seh: [URL]",0,0,0,0,Neutral,"accumulation of shares of BBCA, BBRI, BNII, ARTO in warteg portfolio BY JO ot C: neh, as of February 22, 2024: contrarian seh: [URL]"
Thu Feb 22 03:13:31 +0000 2024,Saham BBCA 10 lot aja..,0,0,0,0,Positive,Just 10 lots of BBCA shares..
Thu Feb 22 02:02:13 +0000 2024,"[USERNAME] saham BBCA 1000 lot aja,",0,0,0,0,Positive,"[USERNAME] BBCA shares, just 1000 lots,"
Thu Feb 22 00:41:10 +0000 2024,"Bank BTPN siap menggelar rights issue Rp 6,7 triliun, di mana BCA akan ikut ambil bagian untuk mempertahankan minimal 1% kepemilikan [URL] [HASHTAG] [HASHTAG] [HASHTAG]",0,0,0,0,Neutral,"Bank BTPN is ready to hold a rights issue of IDR 6.7 trillion, in which BCA will take part to maintain at least 1% ownership [URL] [HASHTAG] [HASHTAG] [HASHTAG]"
Wed Feb 21 23:48:34 +0000 2024,"IHSG Diprediksi Rebound, Saham BBCA hingga MDKA Direkomendasikan [URL]",0,0,0,0,Positive,"IHSG Predicted to Rebound, BBCA to MDKA Stocks Recommended [URL]"
Wed Feb 21 16:39:47 +0000 2024,"8. Iya gue pernah lulus Kedokteran UI jalur SIMAK, tapi pas tes nya gue tidur 40 menit. Bukan karena pinter, tapi karena soalnya terlalu susah jadi mostly asal jawab😬. Dan hoki: lulus! 9. Seumur hidup ga pernah beli saham 4 big banks (BBCA/BBRI/BBNI/BMRI)",0,0,0,0,Neutral,"8. Yes, I passed the UI Medical School through SIMAK, but I slept for 40 minutes during the test. Not because I was smart, but because the questions were too difficult so I mostly answered randomly😬. And luckily: I passed! 9. I have never bought shares of the 4 big banks (BBCA/BBRI/BBNI/BMRI) in my entire life"
Wed Feb 21 14:42:07 +0000 2024,Saham BCA 1% aja gausah banyak banyak,0,0,0,0,Positive,"BCA shares are only 1%, no need for lots"
Wed Feb 21 11:46:34 +0000 2024,"Klo setiap sore mati listrik terus jaga lilin kek gini cepet kaya nih, kira kira mau beli saham bca atau saham pln ye",0,0,0,0,Neutral,"If the electricity goes out every afternoon and you have to keep candles burning like this, I wonder if I should buy BCA shares or PLN shares?"
